pais,continente,poblacion,casos_totales,casos_hoy,muertes_totales,muertes_hoy,recuperados,activos,criticos,casos_por_millon,muertes_por_millon,pruebas_totales,pruebas_por_millon,actualizado_unix,iso3,fecha_actualizacion,tasa_mortalidad_pct,nivel_riesgo,anio_actualizacion,mes_actualizacion
Denmark,Europe,5834950,3183756,0,8814,0,3174942,0,0,545636,1511,129333107,22165247,1783294046591,DNK,2026-07-05 23:27:26.591,0.28,Bajo,2026,7
Singapore,Asia,5943546,3006155,0,2024,0,3004131,0,4,505785,341,24756666,4165302,1783294046592,SGP,2026-07-05 23:27:26.592,0.07,Bajo,2026,7
Hong Kong,Asia,7604299,2937609,0,14924,0,2916005,6680,0,386309,1963,76127725,10011143,1783294046593,HKG,2026-07-05 23:27:26.593,0.51,Bajo,2026,7
Sweden,Europe,10218971,2754129,0,27407,0,2726492,230,0,269511,2682,19500873,1908301,1783294046594,SWE,2026-07-05 23:27:26.594,1.0,Medio,2026,7
New Zealand,Australia-Oceania,4898203,2621111,0,5697,0,2613791,1623,0,535117,1163,7768604,1586011,1783294046595,NZL,2026-07-05 23:27:26.595,0.22,Bajo,2026,7
Serbia,Europe,8653016,2615054,0,18057,0,2596608,389,0,302213,2087,13463733,1555958,1783294046596,SRB,2026-07-05 23:27:26.596,0.69,Bajo,2026,7
Iraq,Asia,42164965,2465545,0,25375,0,2439497,673,0,58474,602,19544451,463523,1783294046597,IRQ,2026-07-05 23:27:26.597,1.03,Medio,2026,7
Hungary,Europe,9606259,2230232,0,49048,0,2152155,29029,0,232164,5106,11394556,1186160,1783294046599,HUN,2026-07-05 23:27:26.599,2.2,Medio,2026,7
Bangladesh,Asia,167885689,2049377,0,29493,0,0,2019884,0,12207,176,15254399,90862,1783294046600,BGD,2026-07-05 23:27:26.600,1.44,Medio,2026,7
Slovakia,Europe,5460193,1877605,0,21224,0,1856381,0,23,343872,3887,7448789,1364199,1783294046601,SVK,2026-07-05 23:27:26.601,1.13,Medio,2026,7
Georgia,Asia,3968738,1861665,0,17132,0,0,1844533,0,469082,4317,16920079,4263340,1783294046603,GEO,2026-07-05 23:27:26.603,0.92,Bajo,2026,7
